"yrborn"	"litter_id"	"uid"	"sex"	"col_area"	"dam"	"pup_emerjdate"	"littersizeborn"	"massjun"	"massaug"	"nboffspring"	"age"	"massjun_mom"	"date_bare_ground"	"total_snow"	"summer_max_tj"
1979	"1979.Z78219"	"D45174"	"M"	"mm"	"Z78219"	189	7	284.180559975355	985.805581286291	7	8	2963.37395794987	152	1346	19.48
1979	"1979.Z78219"	"G11823"	"M"	"mm"	"Z78219"	189	7	350.652541774566	1083.1852912801	7	8	2963.37395794987	152	1346	19.48
1979	"1979.Z78219"	"N43456"	"F"	"mm"	"Z78219"	189	7	313.550339315339	966.451707827244	7	8	2963.37395794987	152	1346	19.48
1979	"1979.K56499"	"C69814"	"F"	"gothictown"	"K56499"	184	5	495.69462840509	1571.70826041772	5	6	2748.99153711918	152	1346	19.48
1979	"1979.Z78219"	"P05634"	"F"	"mm"	"Z78219"	189	7	341.021642328474	1066.49220232559	7	8	2963.37395794987	152	1346	19.48
1979	"1979.I03303"	"L52849"	"F"	"picnic_lower"	"I03303"	192	4	467.829185170035	1177.39712207236	4	8	2352.82574469502	152	1346	19.48
1979	"1979.I03303"	"M75374"	"F"	"picnic_lower"	"I03303"	192	4	402.536273088875	1078.60030597098	4	8	2352.82574469502	152	1346	19.48
1979	"1979.I03303"	"Y97144"	"F"	"picnic_lower"	"I03303"	192	4	490.622094297704	1244.92633649297	4	8	2352.82574469502	152	1346	19.48
1979	"1979.I03303"	"T30603"	"M"	"picnic_lower"	"I03303"	192	4	527.559109364571	1320.83500556203	4	8	2352.82574469502	152	1346	19.48
1979	"1979.P84266"	"G45247"	"F"	"boulder"	"P84266"	197	3	516.168864453577	1100.81825232815	3	2	1903.23569191492	152	1346	19.48
1979	"1979.P84266"	"D34677"	"M"	"boulder"	"P84266"	197	3	568.34070157796	1207.83753345261	3	2	1903.23569191492	152	1346	19.48
1979	"1979.Q31242"	"J50121"	"F"	"coppercreek"	"Q31242"	NA	4	565.221671517232	1459.52952912698	4	7	2224.07527373248	152	1346	19.48
1979	"1979.Q31242"	"Q05068"	"M"	"coppercreek"	"Q31242"	NA	4	475.332797383842	1372.35285462842	4	7	2224.07527373248	152	1346	19.48
1979	"1979.Q31242"	"P55489"	"M"	"coppercreek"	"Q31242"	NA	4	523.066644234947	1456.06761780282	4	7	2224.07527373248	152	1346	19.48
1979	"1979.H67405"	"E01227"	"M"	"mm"	"H67405"	208	3	421.348650176651	771.574532084828	3	3	2234.94344287565	152	1346	19.48
1979	"1979.H67405"	"U02836"	"F"	"mm"	"H67405"	208	3	375.361437167956	671.905536046357	3	3	2234.94344287565	152	1346	19.48
1979	"1979.H67405"	"N70752"	"F"	"mm"	"H67405"	208	3	386.145365014165	689.848969501693	3	3	2234.94344287565	152	1346	19.48
1979	"1979.K56499"	"G82290"	"F"	"gothictown"	"K56499"	184	5	597.487802978646	1749.99102264693	5	6	2748.99153711918	152	1346	19.48
1979	"1979.K56499"	"W97272"	"F"	"gothictown"	"K56499"	184	5	297.445065885282	1165.62155131924	5	6	2748.99153711918	152	1346	19.48
1979	"1979.K56499"	"S21019"	"F"	"gothictown"	"K56499"	184	5	318.579986914385	1212.06682908381	5	6	2748.99153711918	152	1346	19.48
1979	"1979.K56499"	"Z11293"	"F"	"gothictown"	"K56499"	184	5	578.495553515159	1719.12804928919	5	6	2748.99153711918	152	1346	19.48
1979	"1979.P84266"	"F09716"	"F"	"boulder"	"P84266"	197	3	513.575663347439	1107.09048870225	3	2	1903.23569191492	152	1346	19.48
1979	"1979.V87934"	"W04682"	"F"	"picnic_upper"	"V87934"	192	3	188.73131227891	621.17706862909	3	9	2340.42968515111	152	1346	19.48
1979	"1979.V87934"	"G82539"	"F"	"picnic_upper"	"V87934"	192	3	147.019560690288	527.78742429469	3	9	2340.42968515111	152	1346	19.48
1979	"1979.V87934"	"I59378"	"F"	"picnic_upper"	"V87934"	192	3	188.73131227891	621.17706862909	3	9	2340.42968515111	152	1346	19.48
1979	"1979.Z78219"	"T40732"	"F"	"mm"	"Z78219"	189	7	218.339882194675	780.984062141366	7	8	2963.37395794987	152	1346	19.48
1979	"1979.Z78219"	"M03932"	"M"	"mm"	"Z78219"	189	7	230.539154897698	847.61289809358	7	8	2963.37395794987	152	1346	19.48
1979	"1979.Z78219"	"M71307"	"F"	"mm"	"Z78219"	189	7	254.882005412035	836.052552943002	7	8	2963.37395794987	152	1346	19.48
1980	"1980.Z11502"	"Z24062"	"M"	"picnic_upper"	"Z11502"	198	5	429.094206268082	1037.43129299645	5	2	1925.51666452192	159	1542	21.1
1980	"1980.Z11502"	"K89692"	"M"	"picnic_upper"	"Z11502"	198	5	480.623966079346	1117.09182345332	5	2	1925.51666452192	159	1542	21.1
1980	"1980.H87846"	"V87457"	"F"	"picnic_upper"	"H87846"	198	4	439.299311326572	1033.20930608014	4	2	1734.03585760681	159	1542	21.1
1980	"1980.H87846"	"S73039"	"F"	"picnic_upper"	"H87846"	198	4	363.614396225096	942.390502110319	4	2	1734.03585760681	159	1542	21.1
1980	"1980.H87846"	"D76168"	"F"	"picnic_upper"	"H87846"	198	4	404.091253034568	1001.82003089137	4	2	1734.03585760681	159	1542	21.1
1980	"1980.H87846"	"E49798"	"F"	"picnic_upper"	"H87846"	198	4	359.339420378792	899.600172353443	4	2	1734.03585760681	159	1542	21.1
1980	"1980.Q31242"	"V38007"	"F"	"coppermeadow"	"Q31242"	NA	4	203.235892471747	827.364970956803	4	8	2124.40137031073	159	1542	21.1
1980	"1980.Q31242"	"L37602"	"F"	"coppermeadow"	"Q31242"	NA	4	274.791095601202	992.612256257769	4	8	2124.40137031073	159	1542	21.1
1980	"1980.Q31242"	"B81319"	"F"	"coppermeadow"	"Q31242"	NA	4	234.097858708227	892.789619895558	4	8	2124.40137031073	159	1542	21.1
