"obsY"	"id"	"ageY"	"capWgt"	"isRepro1"	"lambNum1"	"growth"	"nao_winter"	"abundance"
1985	"OLGJ9810"	5	23.3	1	1	23.4	-0.0344999999999999	190
1985	"SUDD7673"	2	21.9	1	1	24.3	-0.0344999999999999	190
1985	"NXEJ5638"	3	24.8	1	1	26.9	-0.0344999999999999	190
1985	"CDKO1193"	6	26.7	1	1	27.1	-0.0344999999999999	190
1985	"JTJD6783"	5	23.7	1	1	23.8	-0.0344999999999999	190
1985	"RWKZ0398"	1	18	1	1	23.2	-0.0344999999999999	190
1985	"VJAH5453"	2	24.1	0	0	27.9	-0.0344999999999999	190
1985	"KEJV0999"	1	20.7	1	1	26.5	-0.0344999999999999	190
1985	"EBYN9481"	2	19.7	1	1	22.9	-0.0344999999999999	190
1985	"TRWH3798"	2	19.3	1	1	22.5	-0.0344999999999999	190
1985	"NLUJ9833"	3	26.6	1	1	26.9	-0.0344999999999999	190
1986	"VMLF8098"	2	22.5	1	1	27.5	0.339	101
1986	"YKGD1612"	2	26.8	0	0	31.8	0.339	101
1986	"NXEJ5638"	4	26.9	0	0	23.3	0.339	101
1986	"ZSEK4905"	0	7.8	1	1	15	0.339	101
1986	"VJAH5453"	3	27.9	1	1	29	0.339	101
1986	"OLGJ9810"	6	23.4	1	1	23	0.339	101
1986	"SUDD7673"	3	24.3	1	1	26	0.339	101
1986	"JTJD6783"	6	23.8	1	1	23	0.339	101
1986	"EFRP5257"	6	26.3	1	1	28.3	0.339	101
1986	"EBYN9481"	3	22.9	1	1	22.6	0.339	101
1986	"SRHG3154"	6	26.5	1	1	26	0.339	101
1986	"CDKO1193"	7	27.1	1	1	26	0.339	101
1986	"TRWH3798"	3	22.5	1	1	23.2	0.339	101
1986	"YJOH0905"	7	26.5	1	1	25	0.339	101
1986	"NLUJ9833"	4	26.9	1	1	27	0.339	101
1987	"YIGE7272"	6	26.5	1	1	25.5	0.0985	124
1987	"ICNZ7897"	0	14	1	1	20	0.0985	124
1987	"CVJN4220"	0	16.5	0	0	20.2	0.0985	124
1987	"YJOH0905"	8	25	1	1	23.2	0.0985	124
1987	"EBYN9481"	4	22.6	1	1	21.6	0.0985	124
1987	"HSXN0490"	7	26.3	1	1	24.6	0.0985	124
1987	"ZHPT0482"	1	17.4	1	1	20.8	0.0985	124
1987	"GMYG7138"	0	17.1	0	0	21.5	0.0985	124
1987	"JACI2490"	0	17.4	1	1	19.8	0.0985	124
